elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000035, 10.000035, 844, 2504, 107785.3, 12525, 174357, 3737443, 4718055, 4738976, 27428
20.001013, 10.000978, 448, 2517, 87167.3, 8849, 229606, 2708684, 3177842, 3177842, 93279
30.000915, 9.999902, 428, 2307, 133448.7, 8918, 79143, 3971153, 4795513, 4795513, 75264
40.000983, 10.000068, 301, 2468, 144997.7, 11998, 92866, 2914706, 4977056, 4977056, 57992
50.000916, 9.999933, 72, 2684, 5486.4, 5068, 8323, 8992, 12453, 12453, 81270
60.000925, 10.000009, 115, 2464, 107937.7, 7018, 199732, 3391459, 3422664, 3422664, 75413
70.000922, 9.999997, 177, 2539, 592785.1, 8432, 4075829, 4327712, 5917815, 5917815, 51061
80.000916, 9.999994, 482, 2477, 512304.6, 12109, 3843905, 4517063, 5233059, 5233059, 35488
90.000913, 9.999997, 814, 2129, 469903.6, 13630, 2721547, 3875291, 5440487, 5839454, 12612
100.000919, 10.000006, 548, 2195, 538803.1, 11194, 3607121, 4527374, 4866439, 4867783, 26631
110.000916, 9.999997, 447, 2736, 539195.9, 13724, 3848640, 4775523, 6145636, 6145636, 31632
120.000917, 10.000001, 489, 2492, 666176.5, 13064, 3547551, 4528194, 8063145, 8063145, 14302
130.000944, 10.000027, 519, 2523, 507884.8, 11646, 2852699, 4497521, 4809375, 6959806, 26689
140.000914, 9.99997, 628, 2420, 549462.4, 11645, 3714768, 4661372, 5734999, 6043729, 12924
150.000972, 10.000058, 462, 2240, 603264.7, 13996, 3687757, 4863595, 5734999, 6828584, 25860
160.000916, 9.999944, 479, 2744, 626911.9, 11505, 3478489, 4652547, 6037691, 6152318, 26724
170.000921, 10.000005, 859, 2717, 366993.4, 11374, 2213346, 3798103, 5341228, 7850138, 7720
180.000917, 9.999996, 494, 2471, 560215.5, 14794, 3537822, 4436989, 9523411, 9523411, 23972
190.000917, 10.0, 313, 2607, 829991.0, 11591, 4104590, 4936829, 6342259, 6342259, 30216
200.000934, 10.000017, 251, 2372, 663830.4, 12199, 3562694, 4652092, 6461388, 6461388, 39063
210.000936, 10.000002, 400, 2758, 446663.1, 9562, 4111581, 4955482, 8258922, 8258922, 45542
220.000944, 10.000008, 399, 2439, 474643.8, 11337, 3055123, 3833109, 7219233, 7219233, 29558
230.00092, 9.999976, 409, 2515, 543076.8, 10884, 3067387, 4377958, 6131790, 6131790, 49400
240.001026, 10.000106, 201, 2484, 759880.0, 8855, 3870582, 4826690, 5011471, 5011471, 48664
