elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000056, 10.000056, 16015, 3416, 13517.1, 12276, 24535, 32321, 56629, 259552, 0
20.000607, 10.000551, 15547, 1958, 14561.6, 11750, 30949, 59776, 129593, 279384, 0
30.00055, 9.999943, 14521, 2218, 16882.8, 9515, 54688, 106887, 168752, 250643, 0
40.000565, 10.000015, 13122, 2101, 19530.6, 8201, 82361, 147764, 219525, 261785, 0
50.000599, 10.000034, 12082, 2028, 22701.6, 7316, 111799, 190306, 274650, 458229, 0
60.000582, 9.999983, 11378, 1998, 22727.9, 7662, 102353, 181967, 248692, 294065, 0
70.000507, 9.999925, 10786, 2099, 23066.2, 7597, 101876, 210322, 271393, 389533, 0
80.00054, 10.000033, 10452, 2136, 21633.8, 7512, 86304, 167554, 237260, 357908, 0
90.000509, 9.999969, 9921, 2092, 22600.0, 7522, 101888, 157818, 214129, 291168, 0
100.000595, 10.000086, 9529, 2091, 26498.5, 7505, 140315, 248877, 339794, 368172, 0
110.00054, 9.999945, 9146, 1956, 25747.2, 7361, 117584, 205511, 270219, 342366, 0
120.000522, 9.999982, 8793, 1736, 29156.3, 7546, 151026, 228611, 278144, 318341, 0
130.000613, 10.000091, 8675, 1745, 27494.9, 7571, 129390, 218002, 275776, 367236, 0
140.000524, 9.999911, 8380, 2157, 27605.5, 7659, 136728, 213689, 285887, 623587, 0
150.00074, 10.000216, 8321, 2159, 26802.1, 7824, 131935, 214612, 306079, 434199, 0
160.00055, 9.99981, 8022, 2162, 28428.0, 7848, 141932, 237594, 321162, 480456, 0
170.000511, 9.999961, 8001, 2086, 32678.8, 7751, 188988, 324501, 384747, 414192, 0
180.000517, 10.000006, 7802, 2263, 27869.2, 7660, 143104, 214935, 270077, 360966, 0
190.000535, 10.000018, 7789, 2057, 27505.1, 8287, 129715, 211384, 263914, 377505, 0
200.000546, 10.000011, 7560, 2353, 26519.0, 8239, 118666, 211395, 283402, 410928, 0
