elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 489077, 354, 1170.0, 1141, 1721, 2070, 3258, 67024, 0
20.000001, 9.999968, 429006, 403, 1178.7, 1150, 1734, 2108, 3217, 16092, 0
30.000251, 10.00025, 406354, 407, 1186.8, 1156, 1754, 2150, 3398, 26183, 0
40.000243, 9.999992, 411915, 374, 1197.4, 1165, 1778, 2190, 3557, 41848, 0
50.000239, 9.999996, 404517, 382, 1202.7, 1169, 1771, 2179, 6532, 13792, 0
60.000266, 10.000027, 405524, 391, 1206.8, 1170, 1775, 2179, 7630, 17590, 0
70.000233, 9.999967, 404912, 388, 1220.9, 1177, 1820, 2290, 7456, 43373, 0
80.000259, 10.000026, 411673, 390, 1200.4, 1169, 1778, 2174, 3547, 19550, 0
90.000253, 9.999994, 396105, 404, 1208.6, 1175, 1792, 2211, 4894, 13391, 0
100.000241, 9.999988, 403785, 394, 1237.5, 1181, 1858, 2558, 9118, 52933, 0
110.000253, 10.000012, 415401, 406, 1205.0, 1174, 1785, 2188, 3919, 13273, 0
120.000237, 9.999984, 395778, 380, 1203.7, 1168, 1786, 2199, 5040, 19271, 0
130.000244, 10.000007, 404617, 384, 1238.3, 1180, 1872, 2631, 10859, 42105, 0
140.000284, 10.00004, 412763, 391, 1209.4, 1177, 1796, 2201, 4055, 14846, 0
150.000258, 9.999974, 397249, 379, 1208.0, 1174, 1796, 2207, 3978, 13219, 0
160.000279, 10.000021, 407465, 379, 1231.9, 1176, 1867, 2615, 10271, 17806, 0
170.000244, 9.999965, 410502, 387, 1201.1, 1169, 1770, 2152, 5250, 13494, 0
180.000253, 10.000009, 405454, 387, 1203.6, 1173, 1787, 2184, 3706, 12626, 0
190.000299, 10.000046, 402176, 394, 1226.1, 1175, 1870, 2593, 5928, 19029, 0
200.000232, 9.999933, 418558, 400, 1199.4, 1169, 1786, 2188, 3857, 13241, 0
210.000286, 10.000054, 395177, 346, 1206.6, 1174, 1793, 2199, 4187, 12876, 0
220.000248, 9.999962, 407340, 370, 1231.9, 1183, 1883, 2603, 4957, 13892, 0
230.00024, 9.999992, 409605, 372, 1203.3, 1170, 1787, 2186, 3699, 15532, 0
240.000241, 10.000001, 394087, 357, 1212.6, 1173, 1801, 2216, 8623, 14752, 0
250.000235, 9.999994, 406144, 383, 1229.3, 1180, 1877, 2588, 4786, 16244, 0
260.000233, 9.999998, 409655, 384, 1206.6, 1172, 1783, 2176, 4332, 22466, 0
