elapsed, window, total, successful, failed
10.000031, 10.000031, 495472, 495472, 0
20.00002, 9.999989, 414887, 414887, 0
30.000998, 10.000978, 415717, 415717, 0
40.00098, 9.999982, 415876, 415876, 0
50.000969, 9.999989, 418377, 418377, 0
60.000986, 10.000017, 411154, 411154, 0
70.000993, 10.000007, 408374, 408374, 0
80.000982, 9.999989, 411198, 411198, 0
90.000978, 9.999996, 398922, 398922, 0
100.001029, 10.000051, 411867, 411867, 0
110.000999, 9.99997, 414612, 414612, 0
120.001023, 10.000024, 397893, 397893, 0
130.000016, 9.998993, 411961, 411961, 0
140.000979, 10.000963, 414983, 414983, 0
150.000984, 10.000005, 399437, 399437, 0
160.000986, 10.000002, 412378, 412378, 0
170.001017, 10.000031, 414944, 414944, 0
180.000981, 9.999964, 397727, 397727, 0
190.000991, 10.00001, 408659, 408659, 0
200.00098, 9.999989, 412576, 412576, 0
210.000993, 10.000013, 401843, 401843, 0
220.000987, 9.999994, 405401, 405401, 0
230.000979, 9.999992, 417932, 417932, 0
240.000975, 9.999996, 395968, 395968, 0
250.000987, 10.000012, 406468, 406468, 0
260.000982, 9.999995, 421356, 421356, 0
270.000978, 9.999996, 398891, 398891, 0
280.001014, 10.000036, 408273, 408273, 0
290.000993, 9.999979, 408980, 408980, 0
300.000977, 9.999984, 400086, 400086, 0
310.000979, 10.000002, 407210, 407210, 0
320.000976, 9.999997, 419054, 419054, 0
330.000994, 10.000018, 396121, 396121, 0
340.001004, 10.00001, 404710, 404710, 0
350.000978, 9.999974, 416323, 416323, 0
360.000986, 10.000008, 404285, 404285, 0
370.00098, 9.999994, 408885, 408885, 0
380.000978, 9.999998, 415756, 415756, 0
390.00102, 10.000042, 394219, 394219, 0
400.001022, 10.000002, 408296, 408296, 0
410.00101, 9.999988, 411662, 411662, 0
420.001008, 9.999998, 397843, 397843, 0
430.00098, 9.999972, 409048, 409048, 0
440.000977, 9.999997, 412028, 412028, 0
450.001011, 10.000034, 397901, 397901, 0
460.000986, 9.999975, 411703, 411703, 0
470.000997, 10.000011, 411141, 411141, 0
480.000969, 9.999972, 399710, 399710, 0
490.000969, 10.0, 399474, 399474, 0
500.000985, 10.000016, 412329, 412329, 0
510.000989, 10.000004, 403664, 403664, 0
520.000987, 9.999998, 405544, 405544, 0
530.000977, 9.99999, 408848, 408848, 0
540.000984, 10.000007, 406860, 406860, 0
550.000988, 10.000004, 406302, 406302, 0
560.001007, 10.000019, 413810, 413810, 0
570.001001, 9.999994, 404753, 404753, 0
580.000971, 9.99997, 403066, 403066, 0
590.001008, 10.000037, 413079, 413079, 0
600.00098, 9.999972, 406973, 406973, 0
610.001, 10.00002, 406583, 406583, 0
620.000978, 9.999978, 415230, 415230, 0
630.000986, 10.000008, 401542, 401542, 0
640.001008, 10.000022, 406867, 406867, 0
650.000982, 9.999974, 412901, 412901, 0
660.000966, 9.999984, 402870, 402870, 0
670.000994, 10.000028, 404239, 404239, 0
680.000995, 10.000001, 406874, 406874, 0
690.001033, 10.000038, 405203, 405203, 0
700.00002, 9.998987, 403862, 403862, 0
710.000031, 10.000011, 414040, 414040, 0
720.000015, 9.999984, 403886, 403886, 0
730.000991, 10.000976, 406487, 406487, 0
740.000976, 9.999985, 412134, 412134, 0
750.001024, 10.000048, 406672, 406672, 0
760.000015, 9.998991, 404231, 404231, 0
770.00099, 10.000975, 416771, 416771, 0
780.000987, 9.999997, 404350, 404350, 0
790.000981, 9.999994, 401043, 401043, 0
800.000996, 10.000015, 411559, 411559, 0
810.000984, 9.999988, 405036, 405036, 0
820.000988, 10.000004, 402140, 402140, 0
830.001001, 10.000013, 412476, 412476, 0
840.000991, 9.99999, 407020, 407020, 0
850.000975, 9.999984, 402315, 402315, 0
860.000979, 10.000004, 412649, 412649, 0
870.00098, 10.000001, 407113, 407113, 0
880.001036, 10.000056, 404460, 404460, 0
890.000015, 9.998979, 418629, 418629, 0
900.001002, 10.000987, 405708, 405708, 0
910.001031, 10.000029, 407159, 407159, 0
920.000015, 9.998984, 415445, 415445, 0
930.001005, 10.00099, 409314, 409314, 0
940.000998, 9.999993, 400017, 400017, 0
950.001007, 10.000009, 410306, 410306, 0
960.000989, 9.999982, 410551, 410551, 0
970.000974, 9.999985, 406643, 406643, 0
980.000995, 10.000021, 410727, 410727, 0
990.001033, 10.000038, 408521, 408521, 0
1000.000411, 9.999378, 408472, 408472, 0
1010.000002, 9.999591, 411178, 411178, 0
1020.000992, 10.00099, 407199, 407199, 0
1030.000975, 9.999983, 397476, 397476, 0
1040.000989, 10.000014, 416063, 416063, 0
1050.000969, 9.99998, 405756, 405756, 0
1060.00099, 10.000021, 405105, 405105, 0
