elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000116, 10.000116, 212088, 511, 2509.0, 835, 5953, 7086, 9044, 16422, 0
20.000124, 10.000008, 192483, 507, 2560.5, 845, 6122, 7711, 12544, 16414, 0
30.000117, 9.999993, 193579, 496, 2553.3, 843, 6065, 7396, 13030, 20692, 0
40.00013, 10.000013, 195227, 514, 2560.0, 843, 6074, 7366, 12297, 18299, 0
50.00013, 10.0, 191216, 492, 2591.2, 852, 6155, 7673, 11744, 19083, 0
60.000106, 9.999976, 191969, 505, 2577.0, 850, 6061, 7386, 12948, 18193, 0
70.000128, 10.000022, 192093, 502, 2584.5, 854, 6099, 7441, 13686, 19446, 0
80.000126, 9.999998, 189543, 498, 2625.3, 854, 6164, 8380, 14886, 26977, 0
90.000123, 9.999997, 191826, 510, 2596.5, 852, 6111, 7520, 13899, 17172, 0
100.000099, 9.999976, 191230, 501, 2593.7, 851, 6160, 7535, 13332, 18412, 0
110.000157, 10.000058, 188268, 465, 2623.8, 856, 6261, 8426, 16724, 30818, 0
120.000093, 9.999936, 192678, 501, 2582.9, 854, 6007, 7183, 13283, 18542, 0
130.0001, 10.000007, 192554, 504, 2583.9, 854, 6141, 7531, 11534, 19125, 0
140.000151, 10.000051, 188051, 507, 2632.6, 856, 6250, 8591, 16724, 28353, 0
150.000169, 10.000018, 191734, 497, 2592.0, 851, 6136, 7444, 11300, 21017, 0
160.000104, 9.999935, 193201, 495, 2579.8, 852, 6111, 7486, 11516, 21213, 0
170.000119, 10.000015, 187903, 499, 2628.9, 858, 6231, 8434, 16070, 28537, 0
180.000146, 10.000027, 194652, 502, 2569.0, 853, 6100, 7261, 11671, 18444, 0
190.000101, 9.999955, 191631, 510, 2580.4, 852, 6065, 7117, 12011, 17412, 0
200.000138, 10.000037, 187118, 486, 2634.4, 857, 6329, 8798, 16004, 27435, 0
210.000151, 10.000013, 192363, 501, 2593.2, 852, 6146, 7461, 13624, 18495, 0
220.000129, 9.999978, 192062, 506, 2582.7, 848, 6094, 7313, 12301, 17149, 0
230.000098, 9.999969, 186072, 505, 2666.3, 865, 6347, 8747, 15857, 24877, 0
240.000099, 10.000001, 191869, 511, 2587.5, 850, 6089, 7268, 12344, 17007, 0
250.000149, 10.00005, 191081, 504, 2591.7, 850, 6071, 7664, 12484, 18851, 0
260.000139, 9.99999, 188865, 493, 2627.4, 857, 6228, 8260, 16167, 22708, 0
270.000131, 9.999992, 192976, 508, 2580.4, 853, 6050, 7164, 12389, 19466, 0
280.00014, 10.000009, 191704, 508, 2591.2, 849, 6110, 7424, 13449, 17606, 0
290.000106, 9.999966, 188366, 498, 2624.9, 856, 6232, 8166, 15304, 22504, 0
300.000102, 9.999996, 192410, 511, 2583.9, 851, 6139, 7408, 10370, 17278, 0
310.000181, 10.000079, 192637, 506, 2576.4, 851, 6026, 7142, 10841, 16729, 0
320.000096, 9.999915, 189490, 513, 2622.5, 855, 6207, 8064, 16041, 28191, 0
330.000125, 10.000029, 192253, 514, 2584.1, 852, 6139, 7379, 12813, 17813, 0
340.000127, 10.000002, 193293, 515, 2569.3, 855, 6112, 7218, 11398, 17224, 0
350.000097, 9.99997, 188731, 503, 2624.2, 855, 6345, 8393, 15616, 26365, 0
360.000103, 10.000006, 192506, 509, 2593.7, 852, 6162, 7514, 12959, 17694, 0
370.000134, 10.000031, 199542, 508, 2481.4, 852, 6084, 7316, 10838, 23353, 0
380.00014, 10.000006, 190412, 512, 2602.9, 861, 6301, 8315, 15919, 26799, 0
390.000181, 10.000041, 192031, 502, 2568.6, 854, 6091, 7353, 12594, 17357, 0
400.000112, 9.999931, 194963, 490, 2552.4, 854, 6085, 7238, 10929, 16901, 0
410.000134, 10.000022, 188378, 488, 2626.5, 857, 6266, 8517, 15445, 27581, 0
420.000104, 9.99997, 192448, 507, 2581.9, 852, 6157, 7453, 13202, 17356, 0
430.000179, 10.000075, 194460, 509, 2562.6, 853, 6043, 7146, 13162, 17228, 0
