elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000027, 10.000027, 210419, 502, 2523.7, 832, 5955, 7118, 9442, 20751, 0
20.000014, 9.999987, 193932, 500, 2550.4, 842, 6112, 7636, 12144, 16740, 0
30.000341, 10.000327, 196865, 493, 2524.0, 838, 6023, 7173, 8724, 16341, 0
40.000381, 10.00004, 194354, 495, 2539.7, 840, 6051, 7217, 9133, 20879, 0
50.000354, 9.999973, 192921, 487, 2580.6, 850, 6155, 7591, 10530, 18520, 0
60.000349, 9.999995, 193152, 504, 2568.8, 846, 6035, 7320, 13099, 28900, 0
70.000323, 9.999974, 195092, 508, 2539.0, 849, 6045, 7155, 8870, 13250, 0
80.000326, 10.000003, 191781, 502, 2587.2, 848, 6116, 7901, 13473, 26281, 0
90.000334, 10.000008, 194319, 488, 2562.8, 845, 6078, 7280, 9969, 19466, 0
100.000386, 10.000052, 193795, 487, 2563.0, 848, 6125, 7270, 10062, 16333, 0
110.000344, 9.999958, 187384, 479, 2634.7, 854, 6280, 8713, 16998, 31899, 0
120.000344, 10.0, 193210, 487, 2574.3, 848, 6005, 7142, 11974, 17875, 0
130.000327, 9.999983, 191683, 503, 2586.9, 850, 6158, 7587, 12861, 17773, 0
140.00036, 10.000033, 189359, 467, 2620.1, 855, 6224, 8338, 16668, 29120, 0
150.00041, 10.00005, 192509, 508, 2573.6, 848, 6125, 7365, 9490, 19472, 0
160.000382, 9.999972, 191194, 498, 2597.2, 849, 6139, 7683, 13516, 19858, 0
170.000765, 10.000383, 189077, 495, 2628.9, 857, 6257, 8529, 15929, 28331, 0
180.000363, 9.999598, 191135, 507, 2594.8, 849, 6134, 7571, 14236, 18979, 0
190.000328, 9.999965, 192993, 506, 2573.3, 848, 6064, 7091, 10153, 18778, 0
200.000379, 10.000051, 187083, 504, 2637.9, 858, 6348, 8738, 15573, 27990, 0
210.000335, 9.999956, 193838, 499, 2573.4, 850, 6126, 7284, 10743, 17616, 0
220.000379, 10.000044, 193733, 502, 2561.7, 844, 6072, 7172, 9796, 21777, 0
230.000358, 9.999979, 191116, 469, 2593.8, 851, 6229, 7979, 14792, 25577, 0
240.000335, 9.999977, 193191, 483, 2568.9, 847, 6060, 7169, 9294, 13680, 0
250.000333, 9.999998, 192793, 510, 2583.9, 849, 6073, 7531, 10722, 18991, 0
260.000327, 9.999994, 188872, 496, 2616.9, 854, 6221, 8088, 15811, 23901, 0
270.000502, 10.000175, 194190, 468, 2563.9, 845, 6026, 7093, 10331, 18071, 0
280.000364, 9.999862, 192670, 512, 2564.0, 844, 6088, 7229, 9834, 18246, 0
290.000363, 9.999999, 189810, 478, 2611.5, 852, 6238, 7985, 14487, 23414, 0
300.000334, 9.999971, 194787, 489, 2575.7, 847, 6133, 7372, 10136, 20228, 0
310.000368, 10.000034, 192894, 503, 2558.4, 847, 6009, 7014, 9254, 15468, 0
320.000338, 9.99997, 189863, 505, 2614.7, 848, 6193, 8121, 15797, 29323, 0
330.000343, 10.000005, 194014, 497, 2558.8, 845, 6094, 7166, 9323, 15055, 0
340.000371, 10.000028, 190818, 510, 2596.4, 856, 6148, 7271, 9773, 20200, 0
350.000329, 9.999958, 189321, 491, 2621.6, 852, 6345, 8444, 15634, 28020, 0
360.000332, 10.000003, 193710, 503, 2564.9, 845, 6123, 7325, 10060, 19131, 0
370.000353, 10.000021, 176801, 508, 2765.1, 857, 6492, 12144, 17402, 25754, 0
380.000324, 9.999971, 191307, 496, 2606.2, 854, 6295, 8221, 15950, 25399, 0
390.000332, 10.000008, 192284, 495, 2574.3, 851, 6102, 7383, 12772, 18540, 0
