elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00002, 10.00002, 270283, 561, 1997.0, 1540, 4018, 5135, 7113, 10732, 0
20.000626, 10.000606, 246107, 537, 2015.4, 1575, 3982, 5002, 9614, 21755, 0
30.00065, 10.000024, 243322, 552, 2030.5, 1559, 4073, 5241, 9059, 34231, 0
40.000653, 10.000003, 240868, 576, 2044.2, 1589, 4082, 5348, 10537, 34231, 0
50.000636, 9.999983, 239320, 556, 2051.9, 1619, 4093, 5246, 7661, 15822, 0
60.00065, 10.000014, 239136, 566, 2077.6, 1636, 4186, 5486, 10889, 39483, 0
70.000646, 9.999996, 239359, 573, 2072.2, 1589, 4194, 5491, 10397, 39483, 0
80.000661, 10.000015, 235997, 574, 2067.8, 1598, 4179, 5351, 8139, 16203, 0
90.000636, 9.999975, 236429, 538, 2111.4, 1645, 4279, 5925, 13323, 72985, 0
100.000668, 10.000032, 239490, 549, 2083.2, 1612, 4202, 5474, 12123, 72985, 0
110.000704, 10.000036, 234012, 565, 2074.3, 1586, 4185, 5391, 11138, 15451, 0
120.000652, 9.999948, 237025, 552, 2114.9, 1669, 4288, 5982, 13187, 44339, 0
130.000628, 9.999976, 240028, 562, 2082.9, 1625, 4162, 5496, 11992, 44339, 0
140.000642, 10.000014, 234172, 570, 2081.7, 1617, 4173, 5454, 11696, 15625, 0
150.000649, 10.000007, 236491, 555, 2112.5, 1695, 4317, 5883, 12217, 27985, 0
160.000673, 10.000024, 238567, 555, 2089.4, 1669, 4171, 5448, 11849, 27985, 0
170.000625, 9.999952, 233368, 565, 2095.9, 1642, 4167, 5573, 12583, 17500, 0
180.000624, 9.999999, 237652, 547, 2109.2, 1649, 4291, 6139, 12302, 35313, 0
190.000623, 9.999999, 240052, 564, 2080.7, 1647, 4142, 5443, 11730, 35313, 0
200.000643, 10.00002, 234621, 561, 2065.7, 1601, 4105, 5191, 11554, 16878, 0
210.000626, 9.999983, 236751, 556, 2118.6, 1700, 4260, 6124, 12953, 24365, 0
220.000653, 10.000027, 238671, 557, 2084.8, 1625, 4195, 5678, 10687, 23627, 0
230.000637, 9.999984, 236905, 554, 2070.8, 1623, 4120, 5426, 8572, 17253, 0
240.000631, 9.999994, 235964, 570, 2105.0, 1646, 4293, 5912, 12405, 25102, 0
250.000645, 10.000014, 238230, 557, 2082.5, 1632, 4158, 5490, 11449, 26533, 0
260.000617, 9.999972, 236837, 573, 2068.3, 1616, 4152, 5456, 8227, 18907, 0
270.000651, 10.000034, 237452, 536, 2106.6, 1672, 4301, 6028, 11353, 23524, 0
280.000659, 10.000008, 236974, 550, 2086.5, 1686, 4177, 5564, 11727, 23524, 0
290.000659, 10.0, 235102, 566, 2090.7, 1640, 4179, 5576, 12684, 17067, 0
300.000624, 9.999965, 237857, 569, 2097.9, 1675, 4240, 5724, 10807, 20626, 0
310.000643, 10.000019, 239003, 555, 2081.1, 1624, 4167, 5421, 11622, 24764, 0
320.000692, 10.000049, 236413, 571, 2069.5, 1625, 4129, 5382, 8044, 14175, 0
330.000679, 9.999987, 235774, 540, 2114.7, 1649, 4295, 5974, 12955, 33159, 0
340.000639, 9.99996, 238283, 541, 2091.4, 1643, 4213, 5821, 11409, 23453, 0
350.000645, 10.000006, 235867, 541, 2072.9, 1607, 4152, 5435, 8248, 17963, 0
360.000662, 10.000017, 236459, 565, 2111.9, 1658, 4306, 5822, 11859, 20980, 0
370.000716, 10.000054, 238655, 572, 2076.6, 1637, 4195, 5402, 8192, 21417, 0
380.000671, 9.999955, 235192, 562, 2080.5, 1599, 4167, 5474, 11836, 15896, 0
390.000619, 9.999948, 235391, 551, 2117.1, 1710, 4291, 6006, 11714, 21698, 0
400.000629, 10.00001, 237205, 569, 2093.4, 1648, 4191, 5580, 11693, 21747, 0
410.000639, 10.00001, 237370, 565, 2062.3, 1590, 4152, 5332, 7885, 13670, 0
420.000635, 9.999996, 235940, 560, 2103.7, 1692, 4245, 5823, 11652, 19022, 0
430.000628, 9.999993, 238713, 551, 2085.2, 1657, 4169, 5478, 11252, 24927, 0
