elapsed, window, total, successful, failed
10.000042, 10.000042, 271419, 271419, 0
20.000388, 10.000346, 246715, 246715, 0
30.000399, 10.000011, 248566, 248566, 0
40.000401, 10.000002, 246479, 246479, 0
50.000414, 10.000013, 243644, 243644, 0
60.000396, 9.999982, 246006, 246006, 0
70.000431, 10.000035, 243154, 243154, 0
80.000385, 9.999954, 246522, 246522, 0
90.000406, 10.000021, 242981, 242981, 0
100.000447, 10.000041, 239549, 239549, 0
110.000389, 9.999942, 242380, 242380, 0
120.000413, 10.000024, 241036, 241036, 0
130.000409, 9.999996, 237190, 237190, 0
140.000405, 9.999996, 247073, 247073, 0
150.000422, 10.000017, 241825, 241825, 0
160.00041, 9.999988, 237814, 237814, 0
170.000403, 9.999993, 243600, 243600, 0
180.000397, 9.999994, 242189, 242189, 0
190.000401, 10.000004, 240197, 240197, 0
200.000826, 10.000425, 242984, 242984, 0
210.000424, 9.999598, 245299, 245299, 0
220.000421, 9.999997, 239055, 239055, 0
230.000397, 9.999976, 244630, 244630, 0
240.000404, 10.000007, 242112, 242112, 0
250.00039, 9.999986, 239466, 239466, 0
260.000508, 10.000118, 241317, 241317, 0
270.000423, 9.999915, 243648, 243648, 0
280.000404, 9.999981, 237631, 237631, 0
290.000409, 10.000005, 244922, 244922, 0
300.00039, 9.999981, 242636, 242636, 0
310.000407, 10.000017, 240108, 240108, 0
320.000647, 10.00024, 244839, 244839, 0
330.000436, 9.999789, 243870, 243870, 0
340.000408, 9.999972, 238892, 238892, 0
350.000403, 9.999995, 244691, 244691, 0
360.000409, 10.000006, 242856, 242856, 0
370.000462, 10.000053, 240481, 240481, 0
380.000389, 9.999927, 242849, 242849, 0
390.000407, 10.000018, 245235, 245235, 0
400.00043, 10.000023, 236975, 236975, 0
410.000399, 9.999969, 242758, 242758, 0
420.000408, 10.000009, 242411, 242411, 0
430.000389, 9.999981, 239478, 239478, 0
440.000965, 10.000576, 243489, 243489, 0
450.000403, 9.999438, 243641, 243641, 0
460.000391, 9.999988, 237247, 237247, 0
470.000438, 10.000047, 243463, 243463, 0
480.000393, 9.999955, 244386, 244386, 0
490.000388, 9.999995, 239456, 239456, 0
500.000456, 10.000068, 244360, 244360, 0
510.000403, 9.999947, 244671, 244671, 0
520.000468, 10.000065, 239040, 239040, 0
530.000441, 9.999973, 244855, 244855, 0
540.000388, 9.999947, 244501, 244501, 0
550.000427, 10.000039, 238290, 238290, 0
560.000411, 9.999984, 245422, 245422, 0
570.00553, 10.005119, 245410, 245410, 0
580.000389, 9.994859, 241326, 241326, 0
590.000403, 10.000014, 241918, 241918, 0
600.000482, 10.000079, 242317, 242317, 0
610.00045, 9.999968, 237681, 237681, 0
620.000385, 9.999935, 245373, 245373, 0
630.00043, 10.000045, 242549, 242549, 0
640.000426, 9.999996, 238704, 238704, 0
650.000419, 9.999993, 244292, 244292, 0
660.00039, 9.999971, 244562, 244562, 0
670.000394, 10.000004, 237433, 237433, 0
680.000453, 10.000059, 243228, 243228, 0
690.000393, 9.99994, 243695, 243695, 0
700.000408, 10.000015, 238825, 238825, 0
710.000404, 9.999996, 244889, 244889, 0
720.000393, 9.999989, 243397, 243397, 0
730.000395, 10.000002, 240418, 240418, 0
740.000402, 10.000007, 241254, 241254, 0
750.000402, 10.0, 243579, 243579, 0
760.000383, 9.999981, 238688, 238688, 0
770.000452, 10.000069, 243190, 243190, 0
780.000415, 9.999963, 246500, 246500, 0
790.00042, 10.000005, 238275, 238275, 0
800.000383, 9.999963, 244420, 244420, 0
810.000404, 10.000021, 242938, 242938, 0
820.000464, 10.00006, 242580, 242580, 0
830.000427, 9.999963, 243029, 243029, 0
840.000401, 9.999974, 240995, 240995, 0
850.000411, 10.00001, 238854, 238854, 0
860.00039, 9.999979, 243981, 243981, 0
870.000408, 10.000018, 244134, 244134, 0
880.000477, 10.000069, 238263, 238263, 0
890.000422, 9.999945, 245659, 245659, 0
900.00041, 9.999988, 244247, 244247, 0
910.000409, 9.999999, 237562, 237562, 0
920.000416, 10.000007, 244888, 244888, 0
930.000417, 10.000001, 244123, 244123, 0
940.000395, 9.999978, 239905, 239905, 0
950.00038, 9.999985, 245704, 245704, 0
960.000408, 10.000028, 244416, 244416, 0
970.000444, 10.000036, 237201, 237201, 0
980.000382, 9.999938, 242362, 242362, 0
990.000394, 10.000012, 246199, 246199, 0
1000.000388, 9.999994, 237614, 237614, 0
1010.000382, 9.999994, 245188, 245188, 0
1020.000469, 10.000087, 244122, 244122, 0
1030.000403, 9.999934, 238025, 238025, 0
1040.000402, 9.999999, 245691, 245691, 0
1050.000456, 10.000054, 241739, 241739, 0
1060.000406, 9.99995, 239324, 239324, 0
1070.000417, 10.000011, 242451, 242451, 0
1080.000388, 9.999971, 242921, 242921, 0
1090.000399, 10.000011, 241234, 241234, 0
1100.000474, 10.000075, 244096, 244096, 0
1110.000386, 9.999912, 244202, 244202, 0
1120.000383, 9.999997, 238226, 238226, 0
1130.000409, 10.000026, 242996, 242996, 0
1140.000399, 9.99999, 244917, 244917, 0
1150.000394, 9.999995, 238019, 238019, 0
1160.000415, 10.000021, 244700, 244700, 0
1170.000403, 9.999988, 242733, 242733, 0
1180.00041, 10.000007, 240924, 240924, 0
1190.000403, 9.999993, 242873, 242873, 0
1200.00041, 10.000007, 244203, 244203, 0
1210.000394, 9.999984, 240006, 240006, 0
1220.000461, 10.000067, 244442, 244442, 0
1230.000382, 9.999921, 242655, 242655, 0
1240.00042, 10.000038, 238426, 238426, 0
1250.000384, 9.999964, 244135, 244135, 0
1260.000437, 10.000053, 245337, 245337, 0
1270.000438, 10.000001, 238525, 238525, 0
1280.000406, 9.999968, 245164, 245164, 0
1290.00038, 9.999974, 244201, 244201, 0
1300.000413, 10.000033, 238530, 238530, 0
1310.000429, 10.000016, 245585, 245585, 0
1320.000391, 9.999962, 245471, 245471, 0
1330.000416, 10.000025, 239792, 239792, 0
1340.0004, 9.999984, 242392, 242392, 0
1350.000395, 9.999995, 246193, 246193, 0
1360.000397, 10.000002, 238692, 238692, 0
1370.0004, 10.000003, 243594, 243594, 0
1380.000383, 9.999983, 244467, 244467, 0
1390.000385, 10.000002, 238713, 238713, 0
1400.000399, 10.000014, 241230, 241230, 0
1410.000384, 9.999985, 243250, 243250, 0
1420.000404, 10.00002, 238815, 238815, 0
1430.000415, 10.000011, 245345, 245345, 0
1440.00041, 9.999995, 243653, 243653, 0
1450.000407, 9.999997, 238149, 238149, 0
1460.000401, 9.999994, 243378, 243378, 0
1470.000405, 10.000004, 244485, 244485, 0
1480.00038, 9.999975, 239082, 239082, 0
1490.000401, 10.000021, 246086, 246086, 0
1500.000552, 10.000151, 242071, 242071, 0
1510.000418, 9.999866, 239269, 239269, 0
1520.000386, 9.999968, 243403, 243403, 0
1530.000383, 9.999997, 242437, 242437, 0
1540.000408, 10.000025, 238852, 238852, 0
1550.000448, 10.00004, 243350, 243350, 0
1560.0004, 9.999952, 243249, 243249, 0
1570.000401, 10.000001, 241310, 241310, 0
1580.000447, 10.000046, 241989, 241989, 0
1590.000387, 9.99994, 245353, 245353, 0
1600.000398, 10.000011, 238914, 238914, 0
1610.000384, 9.999986, 243410, 243410, 0
1620.000403, 10.000019, 243415, 243415, 0
1630.00039, 9.999987, 239050, 239050, 0
1640.000423, 10.000033, 243116, 243116, 0
1650.000399, 9.999976, 245032, 245032, 0
1660.000379, 9.99998, 239594, 239594, 0
1670.000407, 10.000028, 245972, 245972, 0
1680.000388, 9.999981, 243737, 243737, 0
1690.000383, 9.999995, 241019, 241019, 0
1700.000437, 10.000054, 242922, 242922, 0
1710.000382, 9.999945, 244086, 244086, 0
1720.000406, 10.000024, 240454, 240454, 0
1730.000401, 9.999995, 240455, 240455, 0
1740.00039, 9.999989, 247436, 247436, 0
1750.000434, 10.000044, 239469, 239469, 0
1760.000431, 9.999997, 244021, 244021, 0
1770.000417, 9.999986, 245737, 245737, 0
1780.000409, 9.999992, 237063, 237063, 0
1790.0004, 9.999991, 243584, 243584, 0
1800.000417, 10.000017, 244475, 244475, 0
1801.008769, 1.008352, 1330, 1330, 0
