elapsed, window, total, successful, failed
10.000022, 10.000022, 320465, 320465, 0
20.000482, 10.00046, 283782, 283782, 0
30.000522, 10.00004, 279782, 279782, 0
40.000484, 9.999962, 279574, 279574, 0
50.000488, 10.000004, 278529, 278529, 0
60.000502, 10.000014, 276696, 276696, 0
70.000552, 10.00005, 278101, 278101, 0
80.000495, 9.999943, 273857, 273857, 0
90.000508, 10.000013, 277049, 277049, 0
100.000531, 10.000023, 275174, 275174, 0
110.000519, 9.999988, 272003, 272003, 0
120.000553, 10.000034, 273911, 273911, 0
130.000551, 9.999998, 281440, 281440, 0
140.000488, 9.999937, 270202, 270202, 0
150.000514, 10.000026, 277086, 277086, 0
160.000537, 10.000023, 272907, 272907, 0
170.000486, 9.999949, 273016, 273016, 0
180.000521, 10.000035, 276421, 276421, 0
190.000513, 9.999992, 276335, 276335, 0
200.000504, 9.999991, 273548, 273548, 0
210.000482, 9.999978, 276662, 276662, 0
220.000478, 9.999996, 276822, 276822, 0
230.000495, 10.000017, 272049, 272049, 0
240.000572, 10.000077, 278504, 278504, 0
250.000484, 9.999912, 276865, 276865, 0
260.000495, 10.000011, 272641, 272641, 0
270.00051, 10.000015, 278040, 278040, 0
280.000487, 9.999977, 278779, 278779, 0
290.000487, 10.0, 271371, 271371, 0
300.000515, 10.000028, 279826, 279826, 0
310.000497, 9.999982, 277453, 277453, 0
320.0005, 10.000003, 272039, 272039, 0
330.000496, 9.999996, 278525, 278525, 0
340.000533, 10.000037, 279022, 279022, 0
350.000477, 9.999944, 272296, 272296, 0
360.000581, 10.000104, 276804, 276804, 0
370.000489, 9.999908, 275909, 275909, 0
380.0005, 10.000011, 274679, 274679, 0
390.000495, 9.999995, 276178, 276178, 0
400.000494, 9.999999, 275772, 275772, 0
410.000479, 9.999985, 274337, 274337, 0
420.000483, 10.000004, 277368, 277368, 0
430.0005, 10.000017, 276057, 276057, 0
440.000497, 9.999997, 273303, 273303, 0
450.000509, 10.000012, 276446, 276446, 0
460.000509, 10.0, 277151, 277151, 0
470.000514, 10.000005, 271543, 271543, 0
480.000483, 9.999969, 277851, 277851, 0
490.000519, 10.000036, 279606, 279606, 0
500.000486, 9.999967, 270239, 270239, 0
510.000535, 10.000049, 279039, 279039, 0
520.000495, 9.99996, 275823, 275823, 0
530.000514, 10.000019, 271583, 271583, 0
540.000493, 9.999979, 273507, 273507, 0
550.000519, 10.000026, 276052, 276052, 0
560.000515, 9.999996, 272238, 272238, 0
570.00054, 10.000025, 279271, 279271, 0
580.000493, 9.999953, 273741, 273741, 0
590.000488, 9.999995, 272220, 272220, 0
600.000521, 10.000033, 278548, 278548, 0
610.000501, 9.99998, 275714, 275714, 0
620.000505, 10.000004, 273112, 273112, 0
630.000521, 10.000016, 277304, 277304, 0
640.000498, 9.999977, 279117, 279117, 0
650.000488, 9.99999, 271494, 271494, 0
660.000533, 10.000045, 277222, 277222, 0
670.00051, 9.999977, 278958, 278958, 0
680.000477, 9.999967, 270198, 270198, 0
690.000504, 10.000027, 279483, 279483, 0
700.00052, 10.000016, 275326, 275326, 0
710.00049, 9.99997, 272124, 272124, 0
720.000506, 10.000016, 279504, 279504, 0
730.000544, 10.000038, 274601, 274601, 0
740.000494, 9.99995, 273956, 273956, 0
750.000519, 10.000025, 279992, 279992, 0
760.000506, 9.999987, 273000, 273000, 0
770.000507, 10.000001, 273793, 273793, 0
780.000514, 10.000007, 278305, 278305, 0
790.000505, 9.999991, 275601, 275601, 0
800.000509, 10.000004, 273808, 273808, 0
810.000511, 10.000002, 276226, 276226, 0
820.000485, 9.999974, 276911, 276911, 0
830.000544, 10.000059, 269579, 269579, 0
840.000488, 9.999944, 277959, 277959, 0
850.000501, 10.000013, 277530, 277530, 0
860.0005, 9.999999, 271507, 271507, 0
870.00051, 10.00001, 276876, 276876, 0
880.000515, 10.000005, 276739, 276739, 0
890.000523, 10.000008, 274199, 274199, 0
900.000534, 10.000011, 277003, 277003, 0
910.000501, 9.999967, 277338, 277338, 0
920.0005, 9.999999, 271142, 271142, 0
930.000487, 9.999987, 250276, 250276, 0
940.000513, 10.000026, 279597, 279597, 0
950.000498, 9.999985, 272349, 272349, 0
960.00052, 10.000022, 277855, 277855, 0
970.000481, 9.999961, 277226, 277226, 0
980.000508, 10.000027, 269243, 269243, 0
990.000518, 10.00001, 277930, 277930, 0
1000.00052, 10.000002, 280248, 280248, 0
1010.000505, 9.999985, 278058, 278058, 0
1020.000502, 9.999997, 280288, 280288, 0
1030.000508, 10.000006, 288006, 288006, 0
1040.000525, 10.000017, 272786, 272786, 0
1050.000488, 9.999963, 276636, 276636, 0
1060.000498, 10.00001, 276232, 276232, 0
1070.000477, 9.999979, 276010, 276010, 0
1080.00049, 10.000013, 276204, 276204, 0
1090.000498, 10.000008, 277934, 277934, 0
1100.000491, 9.999993, 268586, 268586, 0
1110.000501, 10.00001, 277915, 277915, 0
1120.000494, 9.999993, 276502, 276502, 0
1130.000494, 10.0, 271494, 271494, 0
1140.000575, 10.000081, 276069, 276069, 0
1150.000498, 9.999923, 276667, 276667, 0
1160.000497, 9.999999, 273505, 273505, 0
1170.000501, 10.000004, 275948, 275948, 0
1180.000492, 9.999991, 275179, 275179, 0
1190.000508, 10.000016, 274899, 274899, 0
1200.000485, 9.999977, 277790, 277790, 0
1210.000489, 10.000004, 276845, 276845, 0
1220.000494, 10.000005, 271289, 271289, 0
1230.000501, 10.000007, 277930, 277930, 0
1240.00051, 10.000009, 277222, 277222, 0
1250.000521, 10.000011, 273808, 273808, 0
1260.000501, 9.99998, 278916, 278916, 0
1270.000496, 9.999995, 274247, 274247, 0
1280.000499, 10.000003, 273283, 273283, 0
1290.000493, 9.999994, 275045, 275045, 0
1300.000487, 9.999994, 277278, 277278, 0
1310.000515, 10.000028, 273953, 273953, 0
1320.00055, 10.000035, 274962, 274962, 0
1330.0005, 9.99995, 276132, 276132, 0
1340.000529, 10.000029, 271741, 271741, 0
1350.000546, 10.000017, 277486, 277486, 0
1360.000534, 9.999988, 277751, 277751, 0
1370.000493, 9.999959, 270659, 270659, 0
1380.000566, 10.000073, 277475, 277475, 0
1390.000527, 9.999961, 278333, 278333, 0
1400.000505, 9.999978, 272479, 272479, 0
1410.000501, 9.999996, 278078, 278078, 0
1420.00052, 10.000019, 274777, 274777, 0
1430.000502, 9.999982, 275322, 275322, 0
1440.00052, 10.000018, 274760, 274760, 0
1450.000492, 9.999972, 277620, 277620, 0
1460.000505, 10.000013, 272397, 272397, 0
1470.00053, 10.000025, 276993, 276993, 0
1480.000499, 9.999969, 276037, 276037, 0
1490.000511, 10.000012, 274282, 274282, 0
