elapsed, window, total, successful, failed
10.000007, 10.000007, 259118, 259118, 0
20.000213, 10.000206, 234584, 234584, 0
30.000234, 10.000021, 237056, 237056, 0
40.000265, 10.000031, 229592, 229592, 0
50.000274, 10.000009, 227292, 227292, 0
60.000209, 9.999935, 230639, 230639, 0
70.000221, 10.000012, 228815, 228815, 0
80.000255, 10.000034, 225066, 225066, 0
90.000229, 9.999974, 229055, 229055, 0
100.000223, 9.999994, 229390, 229390, 0
110.000213, 9.99999, 224021, 224021, 0
120.000221, 10.000008, 229072, 229072, 0
130.000212, 9.999991, 227507, 227507, 0
140.000217, 10.000005, 224851, 224851, 0
150.00023, 10.000013, 229419, 229419, 0
160.000254, 10.000024, 228749, 228749, 0
170.000271, 10.000017, 225523, 225523, 0
180.000243, 9.999972, 230519, 230519, 0
190.000231, 9.999988, 228331, 228331, 0
200.000267, 10.000036, 226410, 226410, 0
210.000223, 9.999956, 230674, 230674, 0
220.000238, 10.000015, 229264, 229264, 0
230.000234, 9.999996, 226626, 226626, 0
240.000243, 10.000009, 230751, 230751, 0
250.000231, 9.999988, 231372, 231372, 0
260.000238, 10.000007, 223461, 223461, 0
270.000225, 9.999987, 229805, 229805, 0
280.000237, 10.000012, 228731, 228731, 0
290.000237, 10.0, 222840, 222840, 0
300.000229, 9.999992, 229348, 229348, 0
310.000261, 10.000032, 229308, 229308, 0
320.00022, 9.999959, 223450, 223450, 0
330.000248, 10.000028, 229171, 229171, 0
340.000537, 10.000289, 229099, 229099, 0
350.000246, 9.999709, 224843, 224843, 0
360.000233, 9.999987, 228911, 228911, 0
370.000294, 10.000061, 228553, 228553, 0
380.000219, 9.999925, 223609, 223609, 0
390.000246, 10.000027, 229195, 229195, 0
400.000219, 9.999973, 227402, 227402, 0
410.000205, 9.999986, 226207, 226207, 0
420.00022, 10.000015, 228965, 228965, 0
430.000217, 9.999997, 228246, 228246, 0
440.000244, 10.000027, 224114, 224114, 0
450.000247, 10.000003, 228481, 228481, 0
460.00028, 10.000033, 228736, 228736, 0
470.000257, 9.999977, 223262, 223262, 0
480.000223, 9.999966, 230116, 230116, 0
490.000233, 10.00001, 229842, 229842, 0
500.00024, 10.000007, 224503, 224503, 0
510.000233, 9.999993, 228773, 228773, 0
520.000211, 9.999978, 229142, 229142, 0
530.000227, 10.000016, 224293, 224293, 0
540.000236, 10.000009, 229793, 229793, 0
550.000243, 10.000007, 227655, 227655, 0
560.000228, 9.999985, 224230, 224230, 0
570.00021, 9.999982, 229644, 229644, 0
580.000236, 10.000026, 229731, 229731, 0
590.000243, 10.000007, 223367, 223367, 0
600.000234, 9.999991, 227188, 227188, 0
610.00027, 10.000036, 229519, 229519, 0
620.000224, 9.999954, 223091, 223091, 0
630.000221, 9.999997, 229165, 229165, 0
640.000224, 10.000003, 230048, 230048, 0
650.00022, 9.999996, 226477, 226477, 0
660.000216, 9.999996, 228467, 228467, 0
670.000216, 10.0, 229393, 229393, 0
680.000216, 10.0, 225208, 225208, 0
690.000244, 10.000028, 229946, 229946, 0
700.00021, 9.999966, 229320, 229320, 0
710.000235, 10.000025, 225821, 225821, 0
720.00022, 9.999985, 229840, 229840, 0
730.000259, 10.000039, 229067, 229067, 0
740.000221, 9.999962, 223004, 223004, 0
750.000233, 10.000012, 231777, 231777, 0
760.00022, 9.999987, 229019, 229019, 0
770.000227, 10.000007, 224602, 224602, 0
780.000237, 10.00001, 230397, 230397, 0
790.000258, 10.000021, 228953, 228953, 0
800.000217, 9.999959, 222050, 222050, 0
810.000243, 10.000026, 230115, 230115, 0
820.000273, 10.00003, 228380, 228380, 0
830.000256, 9.999983, 226155, 226155, 0
840.000251, 9.999995, 228472, 228472, 0
850.00021, 9.999959, 231092, 231092, 0
860.000225, 10.000015, 224399, 224399, 0
870.000228, 10.000003, 231039, 231039, 0
880.000233, 10.000005, 227345, 227345, 0
890.000217, 9.999984, 225977, 225977, 0
900.000219, 10.000002, 230121, 230121, 0
910.000227, 10.000008, 227985, 227985, 0
920.000212, 9.999985, 225272, 225272, 0
930.000233, 10.000021, 227653, 227653, 0
940.00023, 9.999997, 229708, 229708, 0
950.00026, 10.00003, 223751, 223751, 0
960.000271, 10.000011, 230049, 230049, 0
970.000219, 9.999948, 227934, 227934, 0
980.000249, 10.00003, 225190, 225190, 0
990.000232, 9.999983, 227476, 227476, 0
1000.000217, 9.999985, 229918, 229918, 0
1010.00022, 10.000003, 226026, 226026, 0
1020.000214, 9.999994, 228451, 228451, 0
1030.000265, 10.000051, 229682, 229682, 0
1040.00021, 9.999945, 225011, 225011, 0
1050.00022, 10.00001, 227623, 227623, 0
1060.000218, 9.999998, 231240, 231240, 0
1070.000229, 10.000011, 225252, 225252, 0
1080.000217, 9.999988, 228899, 228899, 0
1090.000223, 10.000006, 228812, 228812, 0
1100.000299, 10.000076, 223585, 223585, 0
1110.000229, 9.99993, 227882, 227882, 0
1120.000221, 9.999992, 230627, 230627, 0
1130.000221, 10.0, 226321, 226321, 0
1140.000224, 10.000003, 229669, 229669, 0
1150.000216, 9.999992, 230286, 230286, 0
1160.000282, 10.000066, 223790, 223790, 0
1170.000253, 9.999971, 230073, 230073, 0
1180.000234, 9.999981, 228752, 228752, 0
1190.000209, 9.999975, 225377, 225377, 0
1200.000231, 10.000022, 227948, 227948, 0
1210.000255, 10.000024, 227770, 227770, 0
1220.000244, 9.999989, 224946, 224946, 0
1230.000253, 10.000009, 229549, 229549, 0
1240.000212, 9.999959, 228658, 228658, 0
1250.000209, 9.999997, 224243, 224243, 0
1260.00023, 10.000021, 229477, 229477, 0
1270.000229, 9.999999, 229539, 229539, 0
1280.000218, 9.999989, 224670, 224670, 0
1290.000235, 10.000017, 229192, 229192, 0
1300.000228, 9.999993, 228551, 228551, 0
1310.000281, 10.000053, 225381, 225381, 0
1320.000229, 9.999948, 230399, 230399, 0
1330.000236, 10.000007, 230413, 230413, 0
1340.000232, 9.999996, 225021, 225021, 0
1350.000263, 10.000031, 229681, 229681, 0
1360.000226, 9.999963, 229749, 229749, 0
1370.000222, 9.999996, 225080, 225080, 0
1380.000228, 10.000006, 229989, 229989, 0
1390.000223, 9.999995, 229797, 229797, 0
1400.000212, 9.999989, 223178, 223178, 0
1410.000236, 10.000024, 230865, 230865, 0
1420.000227, 9.999991, 228627, 228627, 0
1430.000233, 10.000006, 224083, 224083, 0
1440.000245, 10.000012, 232147, 232147, 0
1450.00022, 9.999975, 226867, 226867, 0
1460.00021, 9.99999, 225782, 225782, 0
1470.00026, 10.00005, 229531, 229531, 0
1480.000273, 10.000013, 229273, 229273, 0
1490.000217, 9.999944, 225061, 225061, 0
1500.000227, 10.00001, 229353, 229353, 0
1510.000208, 9.999981, 229750, 229750, 0
1520.000232, 10.000024, 226277, 226277, 0
1530.000211, 9.999979, 228392, 228392, 0
1540.000243, 10.000032, 229204, 229204, 0
1550.000244, 10.000001, 225794, 225794, 0
1560.000237, 9.999993, 228295, 228295, 0
1570.000252, 10.000015, 228023, 228023, 0
1580.000221, 9.999969, 225921, 225921, 0
1590.000222, 10.000001, 228423, 228423, 0
