elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000022, 10.000022, 258685, 529, 2091.2, 1924, 4257, 5982, 11978, 20140, 0
19.999873, 9.999851, 234332, 529, 2097.3, 1930, 4314, 5896, 8502, 14410, 0
30.000476, 10.000603, 234775, 537, 2112.7, 1929, 4351, 6036, 10067, 16104, 0
40.000441, 9.999965, 233594, 526, 2130.5, 1897, 4432, 6381, 12156, 20001, 0
50.000464, 10.000023, 228812, 526, 2154.1, 1886, 4616, 6555, 10786, 29425, 0
60.000434, 9.99997, 230774, 513, 2152.2, 1868, 4608, 6634, 11372, 30249, 0
70.000464, 10.00003, 230509, 520, 2146.7, 1903, 4506, 6372, 11175, 19517, 0
80.000448, 9.999984, 224526, 521, 2184.7, 1919, 4614, 6905, 11846, 25992, 0
90.000449, 10.000001, 229165, 540, 2175.8, 1923, 4554, 6664, 12033, 17454, 0
100.000439, 9.99999, 230841, 504, 2155.7, 1911, 4529, 6324, 10286, 17552, 0
110.000451, 10.000012, 224726, 542, 2187.0, 1916, 4643, 7159, 12285, 30747, 0
120.00045, 9.999999, 229095, 533, 2167.7, 1936, 4546, 6583, 11871, 18589, 0
130.000436, 9.999986, 231336, 535, 2153.2, 1956, 4433, 6208, 9630, 17060, 0
140.000469, 10.000033, 225747, 524, 2188.0, 1896, 4621, 6938, 12787, 27342, 0
150.000464, 9.999995, 230078, 515, 2155.3, 1913, 4535, 6465, 10876, 18941, 0
160.000457, 9.999993, 230920, 537, 2150.7, 1922, 4468, 6713, 11201, 20462, 0
170.000463, 10.000006, 225265, 516, 2191.8, 1866, 4720, 7163, 12872, 23072, 0
180.000465, 10.000002, 229289, 531, 2164.4, 1904, 4530, 6591, 12358, 17667, 0
190.000438, 9.999973, 229146, 524, 2156.4, 1936, 4487, 6338, 10224, 19282, 0
200.000465, 10.000027, 224323, 541, 2206.3, 1883, 4712, 7380, 13306, 28479, 0
210.000468, 10.000003, 228340, 504, 2165.6, 1910, 4579, 6590, 12380, 19057, 0
220.000455, 9.999987, 229947, 532, 2157.3, 1931, 4497, 6398, 11485, 16635, 0
230.000441, 9.999986, 223359, 509, 2210.1, 1900, 4724, 7305, 13901, 32587, 0
240.000467, 10.000026, 227116, 536, 2183.3, 1968, 4506, 6638, 13027, 19450, 0
250.000459, 9.999992, 229143, 516, 2168.9, 1947, 4508, 6315, 12180, 19450, 0
260.000512, 10.000053, 225900, 491, 2197.0, 1857, 4768, 7183, 12451, 27846, 0
270.000455, 9.999943, 229689, 531, 2164.1, 1931, 4526, 6457, 11412, 19995, 0
280.000439, 9.999984, 230176, 508, 2156.4, 1922, 4462, 6443, 11948, 19984, 0
290.000491, 10.000052, 225193, 539, 2190.6, 1896, 4678, 7106, 12776, 28381, 0
300.000465, 9.999974, 232439, 546, 2143.0, 1891, 4487, 6460, 10747, 17954, 0
310.00046, 9.999995, 229196, 536, 2159.3, 1907, 4526, 6542, 11107, 21015, 0
320.000445, 9.999985, 225003, 523, 2194.8, 1902, 4666, 7581, 13769, 27091, 0
330.000444, 9.999999, 228869, 525, 2168.2, 1918, 4529, 7007, 12514, 25968, 0
340.000458, 10.000014, 229374, 532, 2148.6, 1914, 4469, 6491, 11836, 20625, 0
350.000456, 9.999998, 227711, 497, 2192.0, 1883, 4688, 7178, 13032, 40336, 0
360.000454, 9.999998, 230902, 513, 2147.5, 1905, 4509, 6445, 11171, 19188, 0
370.000437, 9.999983, 231675, 508, 2136.7, 1863, 4503, 6209, 9766, 16170, 0
380.000448, 10.000011, 226732, 530, 2186.7, 1887, 4692, 6959, 11949, 23624, 0
390.000463, 10.000015, 231738, 540, 2150.1, 1903, 4497, 6226, 9448, 15199, 0
400.000471, 10.000008, 230034, 536, 2146.1, 1905, 4514, 6306, 9928, 19493, 0
410.000449, 9.999978, 221542, 520, 2226.9, 1897, 4830, 7528, 13827, 31808, 0
420.000442, 9.999993, 230090, 529, 2161.2, 1878, 4558, 6473, 12461, 20767, 0
430.000576, 10.000134, 228477, 531, 2161.8, 1917, 4464, 6373, 12179, 16965, 0
440.000472, 9.999896, 224612, 507, 2203.1, 1915, 4681, 7203, 12128, 33211, 0
450.000505, 10.000033, 230608, 535, 2155.6, 1922, 4475, 6528, 11512, 21673, 0
460.000436, 9.999931, 231310, 519, 2150.2, 1909, 4502, 6240, 10098, 18511, 0
470.000461, 10.000025, 227229, 524, 2184.2, 1936, 4601, 6960, 12455, 33564, 0
480.000515, 10.000054, 229070, 506, 2168.1, 1954, 4468, 6681, 12052, 19969, 0
490.000443, 9.999928, 229911, 534, 2162.0, 1983, 4433, 6290, 11602, 19893, 0
500.000538, 10.000095, 224077, 536, 2194.2, 1896, 4652, 7304, 12708, 25211, 0
510.000477, 9.999939, 230595, 500, 2155.1, 1925, 4486, 6263, 11699, 17928, 0
520.000443, 9.999966, 230765, 544, 2148.2, 1952, 4449, 6230, 10246, 16654, 0
530.000447, 10.000004, 225933, 508, 2189.5, 1876, 4714, 6967, 11595, 21225, 0
540.000434, 9.999987, 228136, 536, 2166.2, 1890, 4591, 6622, 11071, 21311, 0
550.000492, 10.000058, 228928, 534, 2163.4, 1917, 4521, 6565, 11464, 17813, 0
560.000459, 9.999967, 226775, 514, 2194.6, 1886, 4663, 7056, 13023, 27709, 0
570.000463, 10.000004, 230842, 508, 2150.5, 1925, 4485, 6281, 9967, 15496, 0
