elapsed, window, total, successful, failed
10.000022, 10.000022, 258685, 258685, 0
19.999873, 9.999851, 234332, 234332, 0
30.000476, 10.000603, 234775, 234775, 0
40.000441, 9.999965, 233594, 233594, 0
50.000464, 10.000023, 228812, 228812, 0
60.000434, 9.99997, 230774, 230774, 0
70.000464, 10.00003, 230509, 230509, 0
80.000448, 9.999984, 224526, 224526, 0
90.000449, 10.000001, 229165, 229165, 0
100.000439, 9.99999, 230841, 230841, 0
110.000451, 10.000012, 224726, 224726, 0
120.00045, 9.999999, 229095, 229095, 0
130.000436, 9.999986, 231336, 231336, 0
140.000469, 10.000033, 225747, 225747, 0
150.000464, 9.999995, 230078, 230078, 0
160.000457, 9.999993, 230920, 230920, 0
170.000463, 10.000006, 225265, 225265, 0
180.000465, 10.000002, 229289, 229289, 0
190.000438, 9.999973, 229146, 229146, 0
200.000465, 10.000027, 224323, 224323, 0
210.000468, 10.000003, 228340, 228340, 0
220.000455, 9.999987, 229947, 229947, 0
230.000441, 9.999986, 223359, 223359, 0
240.000467, 10.000026, 227116, 227116, 0
250.000459, 9.999992, 229143, 229143, 0
260.000512, 10.000053, 225900, 225900, 0
270.000455, 9.999943, 229689, 229689, 0
280.000439, 9.999984, 230176, 230176, 0
290.000491, 10.000052, 225193, 225193, 0
300.000465, 9.999974, 232439, 232439, 0
310.00046, 9.999995, 229196, 229196, 0
320.000445, 9.999985, 225003, 225003, 0
330.000444, 9.999999, 228869, 228869, 0
340.000458, 10.000014, 229374, 229374, 0
350.000456, 9.999998, 227711, 227711, 0
360.000454, 9.999998, 230902, 230902, 0
370.000437, 9.999983, 231675, 231675, 0
380.000448, 10.000011, 226732, 226732, 0
390.000463, 10.000015, 231738, 231738, 0
400.000471, 10.000008, 230034, 230034, 0
410.000449, 9.999978, 221542, 221542, 0
420.000442, 9.999993, 230090, 230090, 0
430.000576, 10.000134, 228477, 228477, 0
440.000472, 9.999896, 224612, 224612, 0
450.000505, 10.000033, 230608, 230608, 0
460.000436, 9.999931, 231310, 231310, 0
470.000461, 10.000025, 227229, 227229, 0
480.000515, 10.000054, 229070, 229070, 0
490.000443, 9.999928, 229911, 229911, 0
500.000538, 10.000095, 224077, 224077, 0
510.000477, 9.999939, 230595, 230595, 0
520.000443, 9.999966, 230765, 230765, 0
530.000447, 10.000004, 225933, 225933, 0
540.000434, 9.999987, 228136, 228136, 0
550.000492, 10.000058, 228928, 228928, 0
560.000459, 9.999967, 226775, 226775, 0
570.000463, 10.000004, 230842, 230842, 0
580.000449, 9.999986, 230338, 230338, 0
590.000476, 10.000027, 225359, 225359, 0
600.00045, 9.999974, 231132, 231132, 0
610.000483, 10.000033, 229806, 229806, 0
620.000467, 9.999984, 227236, 227236, 0
630.000459, 9.999992, 227990, 227990, 0
640.000456, 9.999997, 229703, 229703, 0
650.000467, 10.000011, 224211, 224211, 0
660.000464, 9.999997, 229731, 229731, 0
670.000434, 9.99997, 228062, 228062, 0
680.000454, 10.00002, 223812, 223812, 0
690.000441, 9.999987, 227783, 227783, 0
700.000441, 10.0, 229176, 229176, 0
710.000468, 10.000027, 223908, 223908, 0
720.000481, 10.000013, 227705, 227705, 0
730.000524, 10.000043, 229308, 229308, 0
740.000452, 9.999928, 226902, 226902, 0
750.000473, 10.000021, 229349, 229349, 0
760.000435, 9.999962, 227631, 227631, 0
770.000495, 10.00006, 226827, 226827, 0
780.000458, 9.999963, 230279, 230279, 0
790.000484, 10.000026, 230571, 230571, 0
800.000448, 9.999964, 225633, 225633, 0
810.000456, 10.000008, 229705, 229705, 0
820.00044, 9.999984, 229497, 229497, 0
830.000445, 10.000005, 225642, 225642, 0
840.000449, 10.000004, 229677, 229677, 0
850.000713, 10.000264, 228878, 228878, 0
860.000439, 9.999726, 225415, 225415, 0
870.000475, 10.000036, 230861, 230861, 0
880.000441, 9.999966, 230635, 230635, 0
890.000451, 10.00001, 225043, 225043, 0
900.000448, 9.999997, 230839, 230839, 0
910.000472, 10.000024, 230626, 230626, 0
920.000454, 9.999982, 226148, 226148, 0
930.000488, 10.000034, 232453, 232453, 0
940.000469, 9.999981, 229785, 229785, 0
950.000445, 9.999976, 225852, 225852, 0
960.000447, 10.000002, 230250, 230250, 0
970.000465, 10.000018, 229676, 229676, 0
980.000437, 9.999972, 226335, 226335, 0
990.000463, 10.000026, 230926, 230926, 0
1000.000462, 9.999999, 229817, 229817, 0
1010.000473, 10.000011, 227076, 227076, 0
1020.000463, 9.99999, 229068, 229068, 0
1030.000463, 10.0, 231845, 231845, 0
1040.000458, 9.999995, 225424, 225424, 0
1050.000448, 9.99999, 229218, 229218, 0
1060.000437, 9.999989, 231146, 231146, 0
1070.000446, 10.000009, 223070, 223070, 0
1080.000453, 10.000007, 230873, 230873, 0
1090.000435, 9.999982, 230330, 230330, 0
1100.000443, 10.000008, 226569, 226569, 0
1110.000462, 10.000019, 229069, 229069, 0
1120.000504, 10.000042, 229390, 229390, 0
1130.000447, 9.999943, 225470, 225470, 0
1140.00062, 10.000173, 230666, 230666, 0
1150.000474, 9.999854, 230331, 230331, 0
1160.00047, 9.999996, 226554, 226554, 0
1170.000467, 9.999997, 229219, 229219, 0
1180.00045, 9.999983, 230436, 230436, 0
1190.000467, 10.000017, 226354, 226354, 0
1200.000436, 9.999969, 229681, 229681, 0
1210.000479, 10.000043, 232143, 232143, 0
1220.000453, 9.999974, 223428, 223428, 0
1230.000451, 9.999998, 230227, 230227, 0
1240.000448, 9.999997, 230506, 230506, 0
1250.000453, 10.000005, 224247, 224247, 0
1260.000444, 9.999991, 229865, 229865, 0
1270.000439, 9.999995, 230482, 230482, 0
1280.000444, 10.000005, 224786, 224786, 0
1290.000454, 10.00001, 231414, 231414, 0
