elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000137, 10.000137, 244127, 508, 1536.6, 1504, 2281, 2669, 3268, 12915, 0
20.000139, 10.000002, 218203, 519, 1578.6, 1541, 2324, 2741, 3630, 12193, 0
30.00012, 9.999981, 218187, 518, 1590.4, 1547, 2362, 2838, 5056, 20592, 0
40.000137, 10.000017, 216966, 492, 1591.3, 1551, 2361, 2812, 4938, 20904, 0
50.000138, 10.000001, 216258, 516, 1604.6, 1567, 2383, 2831, 3839, 11789, 0
60.000171, 10.000033, 212705, 534, 1604.5, 1566, 2378, 2824, 3884, 15969, 0
70.000177, 10.000006, 214978, 524, 1623.3, 1574, 2413, 2931, 6740, 15436, 0
80.000161, 9.999984, 214868, 521, 1612.3, 1573, 2401, 2859, 3877, 8495, 0
90.000122, 9.999961, 211954, 543, 1610.1, 1572, 2392, 2833, 3796, 9067, 0
100.000135, 10.000013, 216571, 531, 1627.5, 1575, 2413, 2977, 7600, 16175, 0
110.000124, 9.999989, 215139, 541, 1607.4, 1571, 2390, 2838, 3691, 12261, 0
120.000117, 9.999993, 212205, 540, 1605.7, 1569, 2391, 2826, 3710, 6970, 0
130.000173, 10.000056, 216002, 496, 1625.3, 1568, 2424, 3021, 7823, 22034, 0
140.000135, 9.999962, 215277, 509, 1603.7, 1562, 2389, 2850, 3988, 14953, 0
150.000145, 10.00001, 212486, 511, 1609.7, 1571, 2390, 2833, 4043, 13532, 0
160.000185, 10.00004, 215623, 511, 1628.9, 1574, 2431, 3073, 6734, 14178, 0
170.000119, 9.999934, 215393, 534, 1606.1, 1565, 2392, 2853, 4195, 12354, 0
180.000122, 10.000003, 212826, 502, 1604.6, 1567, 2382, 2820, 3829, 10914, 0
190.000112, 9.99999, 214108, 515, 1632.5, 1575, 2440, 3100, 7557, 18827, 0
200.00014, 10.000028, 217040, 527, 1604.0, 1565, 2383, 2841, 4064, 12123, 0
210.000111, 9.999971, 214350, 481, 1594.1, 1558, 2375, 2804, 3662, 12194, 0
220.000128, 10.000017, 215366, 541, 1632.1, 1574, 2443, 3088, 7114, 14094, 0
230.000131, 10.000003, 215881, 505, 1607.1, 1566, 2388, 2866, 4271, 11669, 0
240.000142, 10.000011, 211836, 507, 1605.5, 1566, 2387, 2842, 4121, 14586, 0
250.000119, 9.999977, 214855, 525, 1629.5, 1575, 2444, 3092, 5933, 14586, 0
260.000447, 10.000328, 215073, 524, 1613.5, 1569, 2396, 2881, 4936, 13988, 0
270.00012, 9.999673, 211440, 563, 1614.7, 1572, 2400, 2869, 5016, 13707, 0
280.000113, 9.999993, 212939, 474, 1642.4, 1571, 2470, 3316, 10537, 21467, 0
290.000149, 10.000036, 215094, 499, 1613.8, 1569, 2403, 2894, 5774, 22862, 0
300.000145, 9.999996, 214257, 502, 1603.2, 1567, 2384, 2816, 3727, 9131, 0
301.005982, 1.005837, 4139, 502, 1620.1, 1573, 2439, 3033, 4735, 16412, 0
