elapsed, window, total, successful, failed
10.000003, 10.000003, 240244, 240244, 0
20.000886, 10.000883, 220539, 220539, 0
30.000883, 9.999997, 215853, 215853, 0
40.000863, 9.99998, 216384, 216384, 0
50.000881, 10.000018, 216990, 216990, 0
60.000897, 10.000016, 212369, 212369, 0
70.000886, 9.999989, 216243, 216243, 0
80.000921, 10.000035, 215817, 215817, 0
90.000869, 9.999948, 211006, 211006, 0
100.000879, 10.00001, 217708, 217708, 0
110.000958, 10.000079, 215069, 215069, 0
120.000923, 9.999965, 212568, 212568, 0
130.000896, 9.999973, 216326, 216326, 0
140.000872, 9.999976, 217343, 217343, 0
150.000882, 10.00001, 211946, 211946, 0
160.000961, 10.000079, 216625, 216625, 0
170.00088, 9.999919, 216198, 216198, 0
180.000893, 10.000013, 213009, 213009, 0
190.000885, 9.999992, 215521, 215521, 0
200.000873, 9.999988, 214676, 214676, 0
210.000888, 10.000015, 215964, 215964, 0
220.000883, 9.999995, 215914, 215914, 0
230.000896, 10.000013, 215252, 215252, 0
240.000915, 10.000019, 212355, 212355, 0
250.000884, 9.999969, 215544, 215544, 0
260.000869, 9.999985, 214054, 214054, 0
270.000871, 10.000002, 214924, 214924, 0
280.000911, 10.00004, 214290, 214290, 0
290.000883, 9.999972, 215602, 215602, 0
300.000886, 10.000003, 215844, 215844, 0
301.005804, 1.004918, 7491, 7491, 0
