elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000025, 10.000025, 245343, 504, 2193.8, 1248, 4545, 5217, 10081, 43104, 0
20.000721, 10.000696, 222804, 482, 2215.9, 1289, 4598, 5310, 9374, 21074, 0
30.000707, 9.999986, 220544, 485, 2241.0, 1290, 4620, 5386, 9984, 18499, 0
40.000694, 9.999987, 222441, 481, 2241.4, 1308, 4657, 5427, 9644, 16647, 0
50.000697, 10.000003, 218700, 491, 2257.1, 1317, 4685, 5465, 11773, 18181, 0
60.000694, 9.999997, 217864, 493, 2255.8, 1316, 4705, 5570, 10271, 19270, 0
70.000684, 9.99999, 219282, 460, 2285.1, 1318, 4705, 5547, 13488, 43138, 0
80.0007, 10.000016, 220550, 510, 2266.6, 1326, 4657, 5402, 11729, 16018, 0
90.000703, 10.000003, 214015, 511, 2254.9, 1319, 4659, 5417, 8587, 18836, 0
100.000694, 9.999991, 218996, 480, 2311.9, 1329, 4731, 5979, 15456, 41862, 0
110.000677, 9.999983, 222797, 496, 2246.7, 1313, 4670, 5388, 8071, 15608, 0
120.000682, 10.000005, 213651, 494, 2258.3, 1316, 4698, 5502, 11061, 17729, 0
130.000705, 10.000023, 220719, 508, 2295.5, 1331, 4791, 5920, 12884, 60762, 0
140.000711, 10.000006, 218216, 489, 2258.2, 1321, 4653, 5389, 11663, 16615, 0
150.000692, 9.999981, 217134, 489, 2252.3, 1316, 4683, 5494, 9921, 16323, 0
160.000693, 10.000001, 218885, 505, 2297.4, 1341, 4733, 6047, 11327, 32790, 0
170.000714, 10.000021, 220021, 502, 2262.3, 1322, 4665, 5455, 12373, 16284, 0
180.000697, 9.999983, 214422, 505, 2262.5, 1323, 4649, 5400, 12598, 16517, 0
190.000709, 10.000012, 220458, 506, 2296.4, 1331, 4754, 5996, 12193, 24491, 0
200.000684, 9.999975, 219183, 512, 2254.9, 1316, 4674, 5429, 11809, 16602, 0
210.000691, 10.000007, 214758, 509, 2260.3, 1313, 4636, 5302, 11368, 16462, 0
220.000705, 10.000014, 220418, 510, 2296.5, 1330, 4763, 6086, 11933, 18462, 0
230.000686, 9.999981, 220240, 496, 2257.4, 1324, 4687, 5509, 11923, 17419, 0
240.000712, 10.000026, 215107, 496, 2255.9, 1320, 4678, 5444, 11529, 17142, 0
250.000719, 10.000007, 219918, 497, 2307.2, 1334, 4759, 6031, 11961, 18941, 0
260.000737, 10.000018, 218497, 491, 2261.1, 1321, 4675, 5450, 10190, 17824, 0
270.000687, 9.99995, 214124, 500, 2261.4, 1320, 4683, 5449, 10825, 22059, 0
280.000683, 9.999996, 220061, 489, 2309.3, 1331, 4737, 6087, 11558, 22277, 0
290.00069, 10.000007, 220164, 492, 2247.4, 1311, 4686, 5378, 7551, 15446, 0
300.000688, 9.999998, 215444, 471, 2262.2, 1318, 4729, 5559, 9938, 18397, 0
310.000703, 10.000015, 217793, 495, 2308.4, 1339, 4796, 6047, 11083, 19538, 0
320.000678, 9.999975, 219635, 523, 2272.9, 1329, 4666, 5528, 12334, 16360, 0
330.000691, 10.000013, 215589, 503, 2255.1, 1318, 4682, 5428, 7840, 15930, 0
340.000716, 10.000025, 217980, 485, 2303.7, 1342, 4795, 6093, 12683, 27396, 0
350.000688, 9.999972, 219574, 506, 2268.1, 1323, 4661, 5499, 11855, 15900, 0
360.000766, 10.000078, 216063, 522, 2264.3, 1322, 4674, 5475, 11810, 18071, 0
370.000684, 9.999918, 218385, 507, 2299.7, 1336, 4742, 5993, 12088, 20369, 0
380.000706, 10.000022, 219464, 492, 2262.4, 1315, 4687, 5521, 11528, 15684, 0
390.00071, 10.000004, 216136, 515, 2252.7, 1319, 4657, 5376, 10145, 23849, 0
400.000701, 9.999991, 219472, 521, 2301.2, 1337, 4736, 5991, 11622, 15861, 0
410.000684, 9.999983, 220037, 503, 2259.1, 1312, 4670, 5408, 10447, 15686, 0
420.000693, 10.000009, 213776, 513, 2264.5, 1315, 4656, 5380, 12691, 17007, 0
430.000688, 9.999995, 219381, 494, 2307.2, 1333, 4772, 6036, 11641, 17366, 0
440.000711, 10.000023, 219982, 499, 2253.3, 1318, 4667, 5432, 10329, 16253, 0
450.000702, 9.999991, 217040, 502, 2250.4, 1317, 4690, 5429, 9615, 16356, 0
460.000679, 9.999977, 218900, 505, 2306.7, 1337, 4743, 5979, 11925, 23105, 0
470.000686, 10.000007, 219853, 505, 2253.3, 1308, 4670, 5423, 7982, 19988, 0
480.000699, 10.000013, 214832, 491, 2263.2, 1316, 4665, 5400, 10888, 18672, 0
490.000695, 9.999996, 220410, 491, 2295.0, 1339, 4737, 6011, 10555, 17895, 0
500.000722, 10.000027, 219705, 503, 2249.4, 1318, 4649, 5430, 8715, 16291, 0
510.000689, 9.999967, 215899, 493, 2258.1, 1311, 4664, 5443, 11775, 18609, 0
520.000738, 10.000049, 219135, 494, 2295.6, 1340, 4745, 5853, 11472, 19826, 0
530.000694, 9.999956, 221292, 509, 2250.6, 1316, 4645, 5371, 11522, 15543, 0
540.000703, 10.000009, 215171, 504, 2255.1, 1321, 4668, 5466, 11820, 16515, 0
550.000683, 9.99998, 219933, 513, 2305.0, 1336, 4827, 6131, 12263, 18396, 0
560.00071, 10.000027, 219319, 506, 2261.6, 1313, 4680, 5510, 11885, 17072, 0
570.000674, 9.999964, 216380, 502, 2252.7, 1310, 4721, 5495, 8891, 15734, 0
580.000684, 10.00001, 220298, 495, 2291.1, 1333, 4781, 5932, 12229, 23117, 0
590.000709, 10.000025, 220287, 504, 2255.0, 1312, 4645, 5345, 12309, 18596, 0
600.000699, 9.99999, 216241, 516, 2243.2, 1309, 4665, 5387, 8032, 16432, 0
610.000709, 10.00001, 219562, 488, 2291.4, 1334, 4745, 5944, 9672, 17307, 0
620.000713, 10.000004, 219992, 493, 2255.2, 1316, 4674, 5481, 11601, 19020, 0
630.000692, 9.999979, 216550, 497, 2250.7, 1318, 4637, 5357, 11147, 17337, 0
640.000682, 9.99999, 210524, 493, 2392.7, 1413, 4938, 6570, 10729, 24205, 0
650.00069, 10.000008, 222541, 512, 2262.8, 1319, 4695, 5534, 7965, 15925, 0
660.000675, 9.999985, 215006, 502, 2246.9, 1312, 4669, 5383, 7217, 11142, 0
670.000699, 10.000024, 219181, 492, 2292.2, 1340, 4696, 5824, 9759, 16081, 0
680.000703, 10.000004, 220967, 506, 2262.3, 1317, 4618, 5345, 11751, 16449, 0
690.000686, 9.999983, 215235, 506, 2255.5, 1313, 4643, 5372, 11415, 16236, 0
700.000689, 10.000003, 219373, 481, 2298.1, 1339, 4720, 5919, 11896, 19789, 0
710.000741, 10.000052, 222582, 481, 2251.9, 1315, 4639, 5325, 9954, 14824, 0
720.000687, 9.999946, 214547, 517, 2247.7, 1313, 4631, 5390, 10459, 19438, 0
730.00071, 10.000023, 220945, 500, 2299.8, 1340, 4745, 6120, 11734, 18385, 0
740.000694, 9.999984, 220687, 508, 2248.9, 1314, 4630, 5305, 8414, 15217, 0
750.000689, 9.999995, 216169, 504, 2251.3, 1309, 4630, 5308, 7847, 17808, 0
760.00068, 9.999991, 220480, 493, 2299.0, 1338, 4735, 5930, 11177, 25579, 0
770.000717, 10.000037, 219028, 518, 2252.9, 1315, 4703, 5473, 11493, 20335, 0
780.000702, 9.999985, 214628, 494, 2263.7, 1318, 4641, 5319, 10999, 15998, 0
790.000704, 10.000002, 219310, 516, 2307.8, 1340, 4790, 6095, 12432, 17027, 0
