elapsed, window, total, successful, failed
10.000025, 10.000025, 245343, 245343, 0
20.000721, 10.000696, 222804, 222804, 0
30.000707, 9.999986, 220544, 220544, 0
40.000694, 9.999987, 222441, 222441, 0
50.000697, 10.000003, 218700, 218700, 0
60.000694, 9.999997, 217864, 217864, 0
70.000684, 9.99999, 219282, 219282, 0
80.0007, 10.000016, 220550, 220550, 0
90.000703, 10.000003, 214015, 214015, 0
100.000694, 9.999991, 218996, 218996, 0
110.000677, 9.999983, 222797, 222797, 0
120.000682, 10.000005, 213651, 213651, 0
130.000705, 10.000023, 220719, 220719, 0
140.000711, 10.000006, 218216, 218216, 0
150.000692, 9.999981, 217134, 217134, 0
160.000693, 10.000001, 218885, 218885, 0
170.000714, 10.000021, 220021, 220021, 0
180.000697, 9.999983, 214422, 214422, 0
190.000709, 10.000012, 220458, 220458, 0
200.000684, 9.999975, 219183, 219183, 0
210.000691, 10.000007, 214758, 214758, 0
220.000705, 10.000014, 220418, 220418, 0
230.000686, 9.999981, 220240, 220240, 0
240.000712, 10.000026, 215107, 215107, 0
250.000719, 10.000007, 219918, 219918, 0
260.000737, 10.000018, 218497, 218497, 0
270.000687, 9.99995, 214124, 214124, 0
280.000683, 9.999996, 220061, 220061, 0
290.00069, 10.000007, 220164, 220164, 0
300.000688, 9.999998, 215444, 215444, 0
310.000703, 10.000015, 217793, 217793, 0
320.000678, 9.999975, 219635, 219635, 0
330.000691, 10.000013, 215589, 215589, 0
340.000716, 10.000025, 217980, 217980, 0
350.000688, 9.999972, 219574, 219574, 0
360.000766, 10.000078, 216063, 216063, 0
370.000684, 9.999918, 218385, 218385, 0
380.000706, 10.000022, 219464, 219464, 0
390.00071, 10.000004, 216136, 216136, 0
400.000701, 9.999991, 219472, 219472, 0
410.000684, 9.999983, 220037, 220037, 0
420.000693, 10.000009, 213776, 213776, 0
430.000688, 9.999995, 219381, 219381, 0
440.000711, 10.000023, 219982, 219982, 0
450.000702, 9.999991, 217040, 217040, 0
460.000679, 9.999977, 218900, 218900, 0
470.000686, 10.000007, 219853, 219853, 0
480.000699, 10.000013, 214832, 214832, 0
490.000695, 9.999996, 220410, 220410, 0
500.000722, 10.000027, 219705, 219705, 0
